## File 1 is the mountains and valleys file, one line each, File 2 are local minima in large mountains
## Valley, Mountain, Minima Detection, Run on 2024-04-27
## Input score file: chr9.corboxscores.corcut.p45.4000.500.txt
## Output File 1 (companion file): chr9.p45.mnts.valleys.tsv
## Output File 2 (this file): chr9.p45.4500.mnts.minima.tsv
## Number of variants in score file: 342401
## Minimum Mountain to Find Minima: 4500
## Window Size (Variants) to Score Minima: 200
## Highest Allowed Minima (Box Score): 1000
## Total Number of new Minima Found: 456
## Column Titles: 
## SUBTYPE, POSITION, VARIANTS, BOXSCORE
m1.1	275114	7516	141
m1.2	344164	2939	293
m1.4	399060	2324	439
m1.5	418581	792	644
m1.6	481599	2477	770
m1.7	518537	1439	78
m1.8	744203	10490	778
m2.1	882366	4128	185
m4.1	996373	3771	494
m4.2	1008868	490	31
m40.1	2303074	4699	11
m40.2	2422375	4739	11
m40.3	2442819	828	28
m46.1	2758696	2527	13
m46.2	2852925	3701	22
m46.3	2917892	2836	180
m46.4	3010549	3607	118
m46.5	3027973	706	942
m50.1	3467671	9684	927
m52.1	3701342	3938	16
m56.1	3828216	2300	42
m64.1	4090458	4101	354
m64.2	4101475	505	570
m64.3	4172857	2987	281
m64.4	4238948	3150	63
m64.5	4298772	2897	213
m64.6	4320595	1037	45
m78.1	4789939	2011	459
m78.2	4876884	3458	20
m78.3	4884426	273	344
m78.4	4945580	2517	58
m78.5	5273940	12041	8
m86.1	5840784	9702	703
m86.2	5867287	910	570
m88.1	6555125	14349	10
m88.2	6610945	2337	11
m88.3	6649547	1783	613
m90.1	6974007	4648	102
m90.2	7087928	4667	19
m90.3	7135572	1914	509
m90.4	7203552	2554	125
m92.1	7290736	2478	44
m100.1	7551355	1504	886
m110.1	7959765	2173	52
m112.1	8171365	3251	94
m116.1	8376382	5310	7
m116.2	8456913	3116	12
m116.3	8551515	3592	104
m116.4	8713381	6771	428
m116.5	8737368	1030	86
m132.1	9377685	7226	29
m132.2	9441371	2858	23
m132.3	9501952	2472	402
m140.1	9969175	2386	444
m140.2	10185462	8647	45
m140.3	10278254	3903	712
m146.1	10612966	6012	187
m146.2	10672919	2161	973
m150.1	10762168	3083	184
m156.1	12467953	7440	288
m164.1	13025519	2603	741
m164.2	13115025	3079	73
m164.3	13444096	10783	45
m166.1	13607119	3853	9
m166.2	13739435	4967	95
m166.3	13796955	2721	393
m172.1	14222003	6052	644
m172.2	14294209	2478	37
m178.1	14471553	3058	120
m178.2	14531678	2067	124
m178.3	14575245	1638	223
m178.4	14715278	5219	66
m178.5	14750866	1272	205
m178.6	14805988	2062	78
m182.1	15067194	6208	26
m184.1	15205221	4382	279
m184.2	15282925	2798	166
m184.3	15309571	982	39
m194.1	16336361	3555	230
m194.2	16365077	1186	18
m194.3	16398873	1492	190
m194.4	16469601	2416	99
m194.5	16659031	6566	149
m194.6	16836292	6627	48
m194.7	16917695	3460	137
m194.8	16962820	2012	439
m194.9	16987221	917	112
m194.10	17457512	16443	12
m194.11	17513044	1938	991
m194.12	17613573	3866	333
m194.13	17628852	595	224
m194.14	17845120	8898	18
m194.15	17916225	2477	159
m196.1	18109934	4477	84
m196.2	18258559	5621	77
m196.3	18392441	5093	56
m196.4	18413870	787	205
m196.5	18513758	3382	40
m196.6	18584487	2615	293
m196.7	18656120	2680	927
m196.8	18661245	206	16
m198.1	18820550	1732	797
m198.2	18912323	3409	13
m198.3	18927472	557	21
m208.1	19740828	4548	13
m208.2	19790447	1723	31
m208.3	19882499	2909	12
m208.4	19901682	782	35
m208.5	20012189	3888	374
m208.6	20095358	3314	840
m208.7	20159388	2435	211
m208.8	20284870	5254	985
m216.1	21103719	13960	400
m218.1	21419473	9804	218
m218.2	21551236	4168	946
m220.1	21938328	9712	167
m220.2	22139722	5987	276
m220.3	22205902	2246	68
m220.4	22593991	13595	601
m220.6	22908925	11198	949
m220.7	22926894	662	171
m224.1	23083594	3611	30
m232.1	24000121	11325	27
m232.2	24155533	5254	13
m232.3	24340261	6451	957
m232.4	24462511	3844	59
m232.5	24488080	773	77
m232.6	24715609	8704	761
m236.1	24862364	4027	23
